"date,""2023-03-20 11:51:59.852147"",""Wavelength min:"",""400.0"",""Wavelength max:"",""1800.0"",""Step:"",""10.0"",""Voltage:"",""3.0"",""I min:"",""-25.0"",""I max:"",""25.0"",""Sample Average:"",""20.0""";
"Sensitivity Measure,""wavelength [nm]"",""current [mA]""";
410;0,000959
420,00061;0,001462
430,004272;0,002107
440,007935;0,003101
450,008301;0,004545
460,010437;0,005926
470,012573;0,008451
480,014709;0,013282
490,016846;0,023695
500,024384;0,059669
510,024506;0,102273
520,030212;0,133986
530,035583;0,160083
540,040955;0,18776
550,049133;0,214583
560,0495;0,233274
570,049866;0,247686
580,050232;0,255256
590,050598;0,253043
600,053772;0,238496
610,054749;0,218472
620,055725;0,192028
630,056702;0,160795
640,057678;0,128231
650,058655;0,097238
660,059631;0,070271
670,060608;0,048499
680,061584;0,032114
690,062561;0,020665
700,064514;0,013031
710,066223;0,009241
720,067932;0,006584
730,069641;0,004697
740,07135;0,003343
750,073059;0,002392
760,074768;0,001735
770,076477;0,001245
780,078186;0,000842
790,079895;0,00056
800,101135;0,000358
810,120911;0,000203
820,140686;8,60E-05
830,160461;7,00E-06
840,180237;-4,50E-05
850,200012;-9,30E-05
860,219788;-0,000122
870,239563;-0,000135
880,259338;-0,000158
890,279114;-0,000177
900,302795;-0,000195
910,308655;-0,000188
920,314514;-0,000205
930,320374;-0,000211
940,326233;-0,000222
950,332092;-0,000189
960,337952;-0,000227
970,343811;-0,000196
980,34967;-0,000216
990,35553;-0,000207
1000,36554;-0,000232
1010,372498;-0,000211
1020,379456;-0,000196
1030,386353;-0,000219
1040,393311;-0,000216
1050,400269;-0,000195
1060,407227;-0,000206
1070,414185;-0,000207
1080,421143;-0,000212
1090,428101;-0,000212
1100,435059;-0,000228
1110,442017;-0,000212
1120,448975;-0,000204
1130,455933;-0,000196
1140,462891;-0,000217
1150,469849;-0,000215
1160,476807;-0,000228
1170,483765;-0,000219
1180,490723;-0,000227
1190,497681;-0,000197
1200,511841;-0,00021
1210,519409;-0,0002
1220,526978;-0,000207
1230,534546;-0,000203
1240,542114;-0,000213
1250,549683;-0,000204
1260,557251;-0,000223
1270,564819;-0,000198
1280,572388;-0,000222
1290,579956;-0,000237
1300,587524;-0,000221
1310,595093;-0,000248
1320,602661;-0,000206
1330,610229;-0,000232
1340,617798;-0,000241
1350,625366;-0,000226
1360,632935;-0,000225
1370,640503;-0,00022
1380,648071;-0,000225
1390,65564;-0,000221
1400,661865;-0,000219
1410,68689;-0,000239
1420,711914;-0,000193
1430,736938;-0,00021
1440,761963;-0,000229
1450,786987;-0,000227
1460,812012;-0,000227
1470,837036;-0,00023
1480,862061;-0,000237
1490,887085;-0,000198
1500,912109;-0,000211
1510,937134;-0,000237
1520,962158;-0,000223
1530,987183;-0,000225
1541,012207;-0,000221
1551,037231;-0,000218
1561,062256;-0,000207
1571,08728;-0,00021
1581,112305;-0,000233
1591,137329;-0,000227
1601,158325;-0,00022
1611,169067;-0,000219
1621,17981;-0,000227
1631,190552;-0,000214
1641,201294;-0,000236
1651,212036;-0,00022
1661,222778;-0,000217
1671,233521;-0,000204
1681,244263;-0,000199
1691,255005;-0,000221
1701,265747;-0,000222
1711,276489;-0,000212
1721,287231;-0,000212
1731,297974;-0,000223
1741,308716;-0,000222
1751,319458;-0,000229
1761,3302;-0,000209
1771,340942;-0,000228
1781,351685;-0,000238
1791,362427;-0,000207
